"filename", "language", "JSON with Comments", "TypeScript", "Markdown", "TypeScript JSX", "JavaScript", "XML", "CSS", "JSON", "Properties", "HTML", "comment", "blank", "total"
"c:\Users\user\my-project\to-do\.env", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"c:\Users\user\my-project\to-do\.eslintrc.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\user\my-project\to-do\README.md", "Markdown", 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 16, 47
"c:\Users\user\my-project\to-do\my-app\README.md", "Markdown", 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 33, 71
"c:\Users\user\my-project\to-do\my-app\package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 18410, 0, 0, 0, 1, 18411
"c:\Users\user\my-project\to-do\my-app\package.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 1, 39
"c:\Users\user\my-project\to-do\my-app\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 23, 1, 44
"c:\Users\user\my-project\to-do\my-app\public\manifest.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 1, 26
"c:\Users\user\my-project\to-do\my-app\src\App.css", "CSS", 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 6, 39
"c:\Users\user\my-project\to-do\my-app\src\App.js", "JavaScript", 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 3, 26
"c:\Users\user\my-project\to-do\my-app\src\App.test.js", "JavaScript", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\user\my-project\to-do\my-app\src\index.css", "CSS", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 2, 14
"c:\Users\user\my-project\to-do\my-app\src\index.js", "JavaScript", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 3, 3, 18
"c:\Users\user\my-project\to-do\my-app\src\logo.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\user\my-project\to-do\my-app\src\reportWebVitals.js", "JavaScript", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\user\my-project\to-do\my-app\src\setupTests.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 4, 1, 6
"c:\Users\user\my-project\to-do\next.config.mjs", "JavaScript", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 2, 7
"c:\Users\user\my-project\to-do\package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 8333, 0, 0, 0, 1, 8334
